date,precipitation_mm,precipitation_efficiency_pct,sp_kg,gmh_kg,grid_area_m2
2025-01-01,0.017967601326628193,0.35603595847386,8754782188.55083,2458960107871.6895,487253809198.0115
2025-01-02,0.002429369526221595,0.08151795486182344,1183719555.6010406,1452096728392.534,487253809198.0115
2025-01-03,0.18305906003049977,4.508029812198652,89196224308.06847,1978607685040.2588,487253809198.0115
2025-01-04,0.032042636741116653,0.8194419688065833,15612896808.857246,1905308417580.2607,487253809198.0115
2025-01-05,0.0029721859188098637,0.39498457939170456,1448208910.5847979,366649481054.4528,487253809198.0115
2025-01-06,0.0,0.0,0.0,434340221637.4716,487253809198.0115
2025-01-07,0.0018660822618854311,0.14771215650001152,909255690.3805175,615559146873.9044,487253809198.0115
2025-01-08,0.006438693196825375,0.3181350198872035,3137277786.4104857,986146632811.0702,487253809198.0115
2025-01-09,0.06034506256942365,1.2680333462240112,29403361603.244015,2318816117163.027,487253809198.0115
2025-01-10,0.06805313193628007,0.9407045723492427,33159147763.807312,3524926819585.6885,487253809198.0115
2025-01-11,0.011007139464239604,0.22397565221104193,5363270632.324507,2394577526342.4365,487253809198.0115
2025-01-12,0.3741454710945737,4.097334320868789,182303805985.01553,4449327091921.565,487253809198.0115
2025-01-13,0.007612658736651647,0.09621090531141235,3709296967.558037,3855381004421.385,487253809198.0115
2025-01-14,0.0,0.0,0.0,230967995191.71298,487253809198.0115
2025-01-15,0.0,0.0,0.0,77725462734.83536,487253809198.0115
2025-01-16,3.340815493204126e-05,0.011433930447396169,16278250.748914437,142367935713.84247,487253809198.0115
2025-01-17,0.07751273280630977,4.679878247660653,37768374321.22211,807037540775.7993,487253809198.0115
2025-01-18,0.0,0.0,0.0,538931922185.41095,487253809198.0115
2025-01-19,0.0,0.0,0.0,288109638973.6441,487253809198.0115
2025-01-20,0.04088595038725654,1.12360307655984,19921835068.87166,1773031374199.0432,487253809198.0115
2025-01-21,0.0015857747008088503,0.06862432155441335,772674763.4989493,1125948856028.0815,487253809198.0115
2025-01-22,0.001166188076290031,0.07451900125956497,568229582.4136188,762529788119.8898,487253809198.0115
2025-01-23,0.11238438846565647,5.5869183377460985,54759721374.28018,980141789514.1744,487253809198.0115
2025-01-24,2.3191828684084674,21.96845827588089,1130030686858.7964,5143877975722.374,487253809198.0115
2025-01-25,1.8658030057871169,29.134999192066953,909119621782.8722,3120369476551.805,487253809198.0115
2025-01-26,0.0,0.0,0.0,1686284350758.0344,487253809198.0115
2025-01-27,0.0,0.0,0.0,675502476764.6414,487253809198.0115
2025-01-28,0.006296244046140867,0.1765463061451178,3067868895.1224375,1737713443067.2856,487253809198.0115
2025-01-29,0.0014860929594049319,0.0387310418911678,724104455.2923989,1869571330735.4202,487253809198.0115
2025-01-30,0.05419333894273519,1.903779248065338,26405910833.006657,1387025878123.2603,487253809198.0115
2025-01-31,0.021925390341356682,0.4036547486107514,10683229961.979332,2646625612295.5425,487253809198.0115
2025-02-01,0.06273512028911163,0.865553397356589,30567926331.365093,3531604915967.048,487253809198.0115
2025-02-02,0.0,0.0,0.0,1603292242332.9604,487253809198.0115
2025-02-03,0.0,0.0,0.0,1346956093189.458,487253809198.0115
2025-02-04,0.0,0.0,0.0,949832039536.1371,487253809198.0115
2025-02-05,0.003093301198797278,0.1686594754136335,1507222792.110749,893648452548.7345,487253809198.0115
2025-02-06,0.051654713526327924,5.727339416427326,25168955928.73533,439452843610.8567,487253809198.0115
2025-02-07,0.0,0.0,0.0,346388982366.89923,487253809198.0115
2025-02-08,0.0,0.0,0.0,1441283211626.6116,487253809198.0115
2025-02-09,0.0011391939235595198,0.11667233881787518,555076578.6696043,475756794021.3108,487253809198.0115
2025-02-10,0.20333319681528134,4.5883205847346735,99074874684.6548,2159284052955.597,487253809198.0115
2025-02-11,0.07071714095508591,1.975673475215575,34457196305.95831,1744073438157.5137,487253809198.0115
2025-02-12,0.0,0.0,0.0,13155798557.648607,487253809198.0115
2025-02-13,0.0,0.0,0.0,107551996680.38391,487253809198.0115
2025-02-14,4.820166156353456e-05,0.00981581457254678,23486443.206505593,239271463747.83112,487253809198.0115
2025-02-15,0.0,0.0,0.0,604365089251.8431,487253809198.0115
2025-02-16,0.0,0.0,0.0,139532270654.23523,487253809198.0115
2025-02-17,0.002062873925759999,0.15338259821611808,1005143178.2218153,655317610936.2521,487253809198.0115
2025-02-18,0.0844262025519809,1.79047684608793,41136988789.57557,2297543745369.123,487253809198.0115
2025-02-19,0.005787817608720375,0.18858355352433367,2820136176.792329,1495430605738.6047,487253809198.0115
2025-02-20,0.0,0.0,0.0,1119503949968.6157,487253809198.0115
2025-02-21,0.0,0.0,0.0,672554876750.298,487253809198.0115
2025-02-22,0.0,0.0,0.0,427828270493.14136,487253809198.0115
2025-02-23,0.0,0.0,0.0,398791924208.1427,487253809198.0115
2025-02-24,0.006221225477606394,0.30288777287539664,3031315811.843434,1000804946025.4938,487253809198.0115
2025-02-25,0.0,0.0,0.0,490240792344.5227,487253809198.0115
2025-02-26,0.002536607929206376,0.773281332701365,1235971875.9476867,159834697112.1064,487253809198.0115
2025-02-27,0.007194496292370909,0.7573198158722552,3505545723.7186956,462888419165.5711,487253809198.0115
2025-02-28,0.19855319375327124,4.301735942110702,96745799984.71223,2248994389396.2646,487253809198.0115
2025-03-01,1.8649354866999344,16.95911337957056,908696919803.0905,5358162891332.121,487253809198.0115
2025-03-02,0.6633673537516631,7.73861388513461,323228270013.10266,4176823844823.216,487253809198.0115
2025-03-03,0.038153600898419404,0.8651958972551727,18590487372.375526,2148702673158.0334,487253809198.0115
2025-03-04,0.0,0.0,0.0,977571072589.0051,487253809198.0115
2025-03-05,0.08303252103302726,3.824492377775182,40457912160.65654,1057863584609.6804,487253809198.0115
2025-03-06,0.02315409752154159,0.5238617707158424,11281922215.913376,2153606704397.793,487253809198.0115
2025-03-07,0.0,0.0,0.0,540674373783.8546,487253809198.0115
2025-03-08,0.0,0.0,0.0,458285246529.8459,487253809198.0115
2025-03-09,0.0,0.0,0.0,777200413848.5028,487253809198.0115
2025-03-10,0.33306495956359555,5.278454503252894,162287170257.7436,3074520584722.9087,487253809198.0115
2025-03-11,0.0012035723195575687,0.08550861501285671,586445197.3497117,685831710946.9452,487253809198.0115
